replaceable	置き換えられる、代わりのある
splendid	素晴らしい、華やかな
basin	盆地、たらい
bleed	出血する、血を流す
ripe	熟した、熟れた
thorough	徹底した、完璧な
digest	要約／消化する
rattle	ガタガタ鳴る
athletic	競技の、運動家の
sidewalk	歩道、歩行者道
fasten	を固定する、締める
dish out	盛り付ける、配膳する
interpreter	解説者、通訳者
scold	を叱る、に小言を言う
ruling	支配的な、主要な、優勢な
thoroughly	徹底的に、完全に
paragraph	段落、区切り
cast off	投げ捨てる、縄を解く
vain	うぬぼれが強い
marvelous	素晴らしい
conquer	を征服する、制圧する
obey	従う、服従する
dive	飛び込む
injured	怪我した、傷つけられた
pass on	通り過ぎる、を伝える
lipstick	口紅
merrily	陽気に、楽しそうに
sorrow	悲しみ、悲哀
in exchange	引き換えに、交換として
hillside	山腹、斜面
hasty	急ぐ、急ぎ足で
margin	余白、へり
in place of	の代わりに、変わって
swift	迅速な、速い
oral	口頭の、口述の
to excess	過剰に、過度に
ambassador	大使
concentrated	濃縮された、集中した
flu	インフルエンザ
in the suburbs of	の郊外で、の近郊で
symphony	交響曲
tread	足を踏み入れる
hasten	急がせる
pastime	娯楽、気晴らし
magnificent	壮大な
errand	使い走り
pass through	を通る、通り抜ける
fairness	公平さ
make allowance for	を大目に見る、を考慮に入れる
hedge	垣根、障壁、障害物
out in the cold	冷たくされて、無視されて
patiently	辛抱強く、根気よく
herd	群れ、集団
out of bounds	立入禁止で、境界線を越えて
approximately	おおよそ、だいたい
liver	肝臓、肝
be reckless of	を気に掛けない、気にしない
dominant	支配的な
shrink	縮小する、縮む
instantly	すぐに、直ちに、即座に
biology	生物学
feed on	にエサをやる、（～を）餌とする
scarce	乏しい、不足している
at close quarters	間近に、接近して
vigor	活力
capitalism	資本主義
conquest	征服、克服
sparkle	キラキラ輝く、きらめく
arena	舞台、闘技場
pinch	をつねる、つまむ
embroil in	に巻き込む、関与させる
attain	を達成する、獲得する
speak ill of	の悪口を言う、を悪く言う
emotionally	感情的に、情緒的に
assign	割り当てる、あてがう
die down	下火になる、（騒ぎが）静まる
all told	全体で、結局
blow in	風が吹き込む、突然現れる
grind	をひく、細かく砕く
plow	耕作用すき、すき似たもの
prohibit	禁じる、禁止する
conceive	を心に抱く、思う
conjure up	素早く出す、呪文で呼び出す
disgusting	いやな、むかつくような
medieval	中世の、時代遅れの
fish for	聞き出す、誘い出す
fascinating	魅惑的な、うっとりさせる
dock	船着場、波止場
go under	失敗する、破産する、失敗に終わる
retreat	へ退却する／後退
productivity	生産性、生産力
feed off	から取って食べる、情報を得る、採取して利用する
shiny	輝いた、光沢のある
organism	生命体、生物
sow	の種をまく
buy over	買収する、味方に抱き込む
courageous	勇気のある、勇敢な
kneel	に膝まづく、ひざをつく
procession	行列
carry off	運び去る、誘拐する
majesty	威厳
suspicion	疑い、疑惑
desperately	必死に
startle	驚愕させる
heir	相続人、跡取り
illusion	幻覚、思い込み
progressive	進歩的な、革新的な
utter	完全な、まったくの
mourn	を悲しむ、嘆く
round and round	ぐるぐる、うろうろ
solely	単独で、専ら
ill at ease	落ち着かない、不安な
strive	努力する、励む
snatch	をひったくる
omit	を省略する、省く
sole	単独の、単一の
despise	を軽蔑する、さげすむ
obedience	従順、服従
boredom	退屈
furnish	家具を備える
daring	大胆な、図太い
appreciation	感謝、称賛
prosper	繁栄する、発展する
rosy	バラ色の
noticeable	目立つ、際立つ
fantastic	素晴らしい
get wet to the skin	ずぶ濡れになる、びしょ濡れになる
vivid	鮮やかな
least of all	とりわけ、最も～ない
brutal	残忍な、残酷な
disguise	変装させる、見せかける
consult	相談する、話し合う
frustration	欲求不満、落胆
cunning	ずる賢い
make a fuss	大騒ぎする、騒ぎ立てる
let on	漏らす、白状する
prescription	処方箋、処方
particle	分子、微量
hug	抱擁、抱きしめる
absurd	ばかげた、道理に合わない
run down	流れ落ちる、荒廃する
assemble	を集める、組み立てる
pick up the pieces	欠片を拾う、事態を修復する
refusal	拒否、拒絶
uncertainty	不確実性、不明確さ
conceal	隠す、秘密にする
expedition	遠征
unjust	不当な、不公平な
tragic	悲劇的な、悲劇的
edit	を編集する
declaration	宣言、発表
vow	誓い、誓約
tighten	締める、絞る
barge in	入り込む、押しかける
tolerate	に耐える、寛大に取り扱う
gloomy	憂鬱な、暗い
out of place	場違いの、不適切な
suspend	を吊るす、ぶら下げる
imitation	模倣
acquisition	取得
warrior	戦士
verb	動詞
physically	肉体的に、身体的に
elegant	優雅な、上品な
honorable	尊敬できる
anticipate	を期待する、予想する
seldom if ever	めったに～ない
volcano	火山、噴火口
sentiment	感情、心情
sleep over	外泊する、を見落とす
severely	厳しく、ひどく
flexible	柔軟な、しなやかな
feast	ごちそう、祝祭
eagerly	熱心に
soar	舞い上がる
fertile	肥沃な、多産の
rule out	を除外する、締め出す
overhead	間接の
modify	修正する、変更する
scary	怖い
pile in	どっと中に入る、一気に入る
comprehension	理解
try out	を試す、十分に試してみる
irony	皮肉
surgeon	外科医、手術医
lick	をなめる、をなめてかかる
refuge	避難、保護
bow out	お辞儀して退出する、身を引く
bulk	大きさ、かさ
peel	皮をむく／皮
lastly	最後に、結局
grieve	深く悲しむ、嘆く
snap out of	から素早く脱出する、抜け出す
forehead	おでこ、ひたい
productive	生産的な
aisle	通路
sphere	球体、球
right off	すぐに、直ちに
insure	を保証する
dense	密な、密集した
dip	に少し浸す
distress	苦痛、苦悩
prominent	目立つ、突き出た
statesman	政治家
bowl over	を打ち倒す、仰天させる
experimental	実験的な、実験の
isolated	孤立した、隔離された
cast away	投げ捨てる、処分する
likewise	同様に
bank on	を当てにする、頼る
sue	訴える、訴訟を起こす
remedy	治療
electronics	電気製品
fluent	流暢な
farewell	別れ
in token of	の証拠に、のしるしとして
fierce	激しい、凶暴な
sprinkle	を振りかける
prevail	打ち勝つ
with open arms	両手を広げて、心から喜んで
patron	常連客、保護者
fetch	を取ってくる
plead	懇願する、お願いする
consensus	同意、同調
suspicious	疑わしい、怪しい
accurately	正確に、綿密に
be devoid of	をを持っていない、に欠いている
resign	辞任する、辞職する
stain	汚れ
buck for	得ようと努める、求める
oriental	東洋の
be indebted to	に負債がある、恩義がある
dissolve	を溶かす
moderate	適度な、適切な、ほどよい
microwave	電子レンジ
imperfect	不完全な、未完成の
torch	たいまつ
